Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance,p-value < 0.01 Count
Chi4v,3.0983702057278086,3.487772587702687,2.9431421011187804,3.387979165449912,-4.834288670195177,1.548692404654588e-06,goed verschilletje hiero,74,woow,61
HallKierAlpha,-2.392568149210901,-2.5278999999999994,-2.3699999999999997,-2.475,2.4616863831981552,0.013997272520148072,goed verschilletje hiero,74,nope,61
Ipc,5814322.816621401,10235369.973373907,245462.38710186392,547596.994430511,-2.558889476242529,0.010648297650449478,goed verschilletje hiero,74,nope,61
Kappa1,16.420353676960712,17.44406597387623,16.32555642020435,17.433770031346114,-3.770055656795303,0.0001728016897543357,goed verschilletje hiero,74,woow,61
Kappa2,7.017245740484674,7.390268672462397,6.950809347206228,7.432858822488666,-2.783347171757093,0.005481917258999397,goed verschilletje hiero,74,woow,61
Kappa3,3.7380286667886766,3.7982999161874034,3.635070915601867,3.738032459948628,-0.6819892376127152,0.49540511470025106,"nope, deze niet",74,nope,61
LabuteASA,140.35025746396127,150.09909350629434,140.66304209240502,149.46938772201196,-4.528127168130142,6.669423793856211e-06,goed verschilletje hiero,74,woow,61
PEOE_VSA1,11.339139041844915,11.351784009769936,10.216698334856808,10.05365155780638,-0.0291007505168035,0.9767900905363991,"nope, deze niet",74,nope,61
PEOE_VSA10,7.585954829982889,7.863945197035784,5.817220841045895,5.817220841045895,-0.6116454362586476,0.54091322425753,"nope, deze niet",74,nope,61
PEOE_VSA11,4.353034568258056,4.992700638208265,0.0,5.112436884724758,-1.6923758394405146,0.09088835652246073,"nope, deze niet",74,nope,61
PEOE_VSA12,4.144252493765406,4.295223640767648,0.0,0.0,-0.4183890439691755,0.6757539904241929,"nope, deze niet",74,nope,61
PEOE_VSA13,3.5346247630344685,4.344397368814075,0.0,5.559266895052008,-2.7742098794483887,0.005637791898208884,goed verschilletje hiero,74,woow,61
PEOE_VSA14,2.290968840210783,2.4236151415985088,0.0,0.0,-0.5280345717230627,0.5975940325496111,"nope, deze niet",74,nope,61
PEOE_VSA2,7.480401931646493,8.55400021623427,4.9839785209472085,9.444189728904176,-2.6848714432925993,0.00737727804300965,goed verschilletje hiero,74,woow,61
PEOE_VSA3,4.837146595529751,4.987052635209334,4.794537184071822,4.794537184071822,-0.43984319694751484,0.6601467773025208,"nope, deze niet",74,nope,61
PEOE_VSA4,2.0660344322003987,2.3643794636062707,0.0,0.0,-1.2118405677546535,0.22586611224056777,"nope, deze niet",74,nope,61
PEOE_VSA5,2.1461185046490625,2.5715417584250706,0.0,0.0,-1.3967088994468488,0.16281831226268018,"nope, deze niet",74,nope,61
PEOE_VSA6,22.85557504581532,24.063055520738867,19.913841467842857,23.894619086314336,-1.138307995095191,0.2552667288141908,"nope, deze niet",74,nope,61
PEOE_VSA7,32.22452855336008,34.974044430351796,31.18920547353706,35.38900045989271,-2.7554196280988084,0.005968835217190872,goed verschilletje hiero,74,woow,61
PEOE_VSA8,17.535867735342464,18.43613006641363,17.02378086052532,17.671659389306566,-1.1902528307673599,0.2342303671025855,"nope, deze niet",74,nope,61
PEOE_VSA9,14.690263442004113,15.510353886927554,12.673249032974528,13.213763929025836,-1.1510116611203602,0.25000507491751484,"nope, deze niet",74,nope,61
SMR_VSA1,13.849511048236403,14.99980314463669,14.159867621623874,14.325937321943693,-2.271491151934419,0.02333119973257074,goed verschilletje hiero,74,nope,61
