Descriptor,mean_non_inhibitors,mean_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance
fr_tetrazole,0.02,0.05333333333333334,-2.8402419960001577,0.004599552170226137,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
fr_thiazole,0.03428571428571429,0.043333333333333335,-0.6940647824672384,0.4878031044828248,"nope, deze niet",54,nope
fr_thiocyan,0.0,0.0033333333333333335,-1.5285466461637107,0.12669373986711718,"nope, deze niet",54,nope
fr_thiophene,0.07285714285714286,0.11,-1.870326974293668,0.06173096232428334,"nope, deze niet",54,nope
fr_unbrch_alkane,0.10142857142857142,0.11333333333333333,-0.37976921306281974,0.7041975357439132,"nope, deze niet",54,nope
fr_urea,0.05285714285714286,0.03666666666666667,1.073851734425259,0.2831487065878644,"nope, deze niet",54,nope
TPSA,72.15757142857142,77.40469999999996,-2.7952563638373844,0.005285310377263601,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
Asphericity,777.0,777.0,,,"nope, deze niet",54,nope
Eccentricity,777.0,777.0,,,"nope, deze niet",54,nope
InertialShapeFactor,777.0,777.0,,,"nope, deze niet",54,nope
NPR2,777.0,777.0,,,"nope, deze niet",54,nope
PMI1,777.0,777.0,,,"nope, deze niet",54,nope
PMI2,777.0,777.0,,,"nope, deze niet",54,nope
PMI3,777.0,777.0,,,"nope, deze niet",54,nope
RadiusOfGyration,777.0,777.0,,,"nope, deze niet",54,nope
SpherocityIndex,777.0,777.0,,,"nope, deze niet",54,nope
