Descriptor,mean_non_inhibitors,mean_inhibitors,T-Statistic,p-value,Significance,p-value < 0.05 Count,Super_Significance
Ipc,12986218.965019042,15427762.314800844,-0.3827221217367162,0.70200730509115,"nope, deze niet",54,nope
Kappa1,16.44236686570622,17.44406597387623,-3.6635890260706305,0.0002617846162146567,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
Kappa2,7.0409224376044754,7.390268672462397,-2.561467679176907,0.010569081282479171,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
Kappa3,3.7761900198076015,3.8315878931641487,-0.5957351309036795,0.5514872588384434,"nope, deze niet",54,nope
LabuteASA,140.4910144920867,150.09909350629434,-4.443794694896912,9.827281841123174e-06,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
PEOE_VSA1,11.518045982304592,11.426948106750228,0.20148992627143303,0.8403565651223093,"nope, deze niet",54,nope
PEOE_VSA10,7.890247028754767,8.155432158603487,-0.538263408588199,0.5905152309836349,"nope, deze niet",54,nope
PEOE_VSA11,4.511682826823907,5.05271846052469,-1.3728527000606363,0.17010653828809352,"nope, deze niet",54,nope
PEOE_VSA12,4.428730192068835,4.483808032130728,-0.14274390404756757,0.8865212542545695,"nope, deze niet",54,nope
PEOE_VSA13,3.6598733349373256,4.524567484082465,-2.814418829970372,0.004982619950096142,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
PEOE_VSA14,2.5374929412018727,2.4951271616325386,0.15111677153596165,0.8799141416129417,"nope, deze niet",54,nope
PEOE_VSA2,7.650972289869888,8.94370794753513,-3.0220127246220647,0.002575061999580413,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
PEOE_VSA3,5.052238726200633,5.115882695975129,-0.1736704145902945,0.8621597087661563,"nope, deze niet",54,nope
PEOE_VSA4,2.474923344100513,2.5898578213021213,-0.3829435446142894,0.7018431709610155,"nope, deze niet",54,nope
PEOE_VSA5,2.5522447851759638,3.0604867340061443,-1.405807389436236,0.1600925707417848,"nope, deze niet",54,nope
PEOE_VSA6,23.153268477146717,24.490501242230064,-1.2186790944422294,0.2232540053953078,"nope, deze niet",54,nope
PEOE_VSA7,32.39044517665723,35.427360984642185,-2.9444947775471744,0.0033098298475119016,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
PEOE_VSA8,17.535867735342464,18.543511257624452,-1.3287127673859866,0.18424646859086513,"nope, deze niet",54,nope
PEOE_VSA9,14.951473687822464,15.738429595586458,-1.0672654265077983,0.2861100956522952,"nope, deze niet",54,nope
SMR_VSA1,14.127175578685677,15.076889135992861,-1.7883190407469332,0.07402781485975084,"nope, deze niet",54,nope
SMR_VSA10,22.178144889970888,27.819858355026106,-7.132429737444381,1.8921689169732286e-12,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
SMR_VSA2,0.3011006375594938,0.29817385476851416,0.03046596563275264,0.9757015275837554,"nope, deze niet",54,nope
SMR_VSA3,9.363197413124007,8.501498280088445,1.747248221947766,0.0809018658877752,"nope, deze niet",54,nope
SMR_VSA4,2.243539982429725,2.64550374251912,-1.185251917299269,0.23620000362407254,"nope, deze niet",54,nope
SMR_VSA5,21.8181537130156,21.183038946581686,0.5514882905751791,0.5814224428297959,"nope, deze niet",54,nope
SMR_VSA6,15.758477680807847,17.062141218699,-1.4168779546920172,0.15683068791928703,"nope, deze niet",54,nope
SMR_VSA7,49.39279822149143,52.368106177139786,-2.048126729338789,0.04080882439439912,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
SMR_VSA8,0.0,0.0,,,"nope, deze niet",54,nope
SMR_VSA9,5.124918411322509,5.093129971810303,0.07503417788646842,0.9402025558043448,"nope, deze niet",54,nope
SlogP_VSA1,9.292626860311307,9.809500286672673,-1.267699044346385,0.20520113313213253,"nope, deze niet",54,nope
SlogP_VSA10,5.208752810458322,5.645841470306932,-1.1179284135323686,0.2638665995924544,"nope, deze niet",54,nope
SlogP_VSA11,2.9741470905582603,3.4176869893089434,-1.33419507384688,0.1824442847175757,"nope, deze niet",54,nope
SlogP_VSA12,6.480508744680065,8.869419806635987,-3.908141161759777,9.928311575936995e-05,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
SlogP_VSA2,31.439727109521368,32.7494718944986,-1.1931362175723534,0.23309959494442065,"nope, deze niet",54,nope
SlogP_VSA3,10.295475020747132,10.39480827855439,-0.1867348974539387,0.8519064449826103,"nope, deze niet",54,nope
SlogP_VSA4,6.1579804422649635,6.457254071536803,-0.5550451306349132,0.5789881691876223,"nope, deze niet",54,nope
SlogP_VSA5,22.49196570161622,23.347182977794215,-0.8039151499776279,0.42163742027558293,"nope, deze niet",54,nope
SlogP_VSA6,40.05662633143165,43.58033300840244,-2.6873947239126594,0.007320964553811078,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
SlogP_VSA7,0.9168362979560025,0.8375404739673923,0.4849907168688003,0.6277893651458197,"nope, deze niet",54,nope
SlogP_VSA8,4.992860118861945,4.939300424947418,0.11303187404522286,0.9100280171484489,"nope, deze niet",54,nope
SlogP_VSA9,0.0,0.0,,,"nope, deze niet",54,nope
TPSA,72.15757142857142,77.40469999999996,-2.7952563638373844,0.005285310377263601,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
EState_VSA1,7.421305480014809,8.356874206925388,-1.3286947625372822,0.18425240894367495,"nope, deze niet",54,nope
EState_VSA10,10.03013828386456,11.108773900373794,-2.3647689393041285,0.018231869632015833,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
EState_VSA11,0.0,0.0,,,"nope, deze niet",54,nope
EState_VSA2,13.684256043803684,14.927807888401079,-1.883232286125159,0.059959504741850356,"nope, deze niet",54,nope
EState_VSA3,16.6272737069143,18.65291610813961,-2.42566315243795,0.015456900652913982,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
EState_VSA4,18.36322148492949,19.38518715286189,-0.9960510297152422,0.3194667875950767,"nope, deze niet",54,nope
EState_VSA5,13.097186043672357,14.599954875297692,-1.7676419070263445,0.07742631598798382,"nope, deze niet",54,nope
EState_VSA6,17.561420090037277,18.69300112719905,-1.1343032227791754,0.2569397545278397,"nope, deze niet",54,nope
EState_VSA7,20.077591646333204,21.046443619365622,-0.7720692191309115,0.44025621440575247,"nope, deze niet",54,nope
EState_VSA8,15.945606226857869,14.521088303024753,1.582532114491549,0.11384497798363527,"nope, deze niet",54,nope
EState_VSA9,7.49950752197972,8.756292501036993,-2.421284768766463,0.015643219092430723,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
VSA_EState1,12.106423353768903,12.81486707003967,-0.7237857796868589,0.4693668764359613,"nope, deze niet",54,nope
VSA_EState10,1.8367416543159876,2.4516763563071717,-2.7552632781998296,0.0059712351139457635,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
VSA_EState2,19.067765966145753,21.206180032748154,-2.588264449378627,0.00978630587094023,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
VSA_EState3,7.508219053150548,7.486419273541961,0.044735563154301494,0.9643270359106328,"nope, deze niet",54,nope
VSA_EState4,2.0402497187445503,2.0986268443702425,-0.38274801682319914,0.7019881091221382,"nope, deze niet",54,nope
VSA_EState5,0.10078818187830496,0.24389507658021226,-1.5330265428045868,0.12558623879154615,"nope, deze niet",54,nope
VSA_EState6,9.708659513726078,10.198807254075195,-1.3038495956757805,0.19258552833735904,"nope, deze niet",54,nope
VSA_EState7,1.8194685640125847,2.0295520454155724,-1.1895904525882508,0.2344903302100891,"nope, deze niet",54,nope
VSA_EState8,3.008407572615198,2.8275484075101667,0.9058319136163484,0.3652434606379248,"nope, deze niet",54,nope
VSA_EState9,0.21245578672148838,0.028446157930187857,1.3507231781216298,0.17709029619960265,"nope, deze niet",54,nope
FractionCSP3,0.3136671526306979,0.2922595647934596,1.7092378652150504,0.08771778071138192,"nope, deze niet",54,nope
HeavyAtomCount,23.664285714285715,25.19333333333333,-4.0628255879275805,5.228673768875754e-05,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
NHOHCount,1.32,1.22,1.3668384906199373,0.17198375013669495,"nope, deze niet",54,nope
NOCount,5.672857142857143,6.06,-2.7866772739153225,0.005426139515291556,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
NumAliphaticCarbocycles,0.1757142857142857,0.26,-1.981745615701198,0.04778174353594867,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
NumAliphaticHeterocycles,0.5242857142857142,0.6266666666666667,-2.164773253354422,0.03064153231983192,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,nope
NumAliphaticRings,0.7,0.8866666666666667,-3.007914321609322,0.002696436226627948,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
NumAromaticCarbocycles,1.262857142857143,1.3466666666666667,-1.6366373381392978,0.10202154544103398,"nope, deze niet",54,nope
NumAromaticHeterocycles,0.8671428571428571,0.8533333333333334,0.2431190239037265,0.807963153639793,"nope, deze niet",54,nope
NumAromaticRings,2.13,2.2,-1.0844850138852522,0.2784117173175031,"nope, deze niet",54,nope
NumHAcceptors,4.664285714285715,5.12,-3.4542424492045734,0.00057503868257883,"jaaaaaaaaaaaaa, goed verschilletje hiero",54,woooooooooooooooooooooooooooooooooooooooooooooooow
NumHDonors,1.1942857142857144,1.1233333333333333,1.160058887082994,0.2463022714971416,"nope, deze niet",54,nope
