Descriptor,mean_non_inhibitors,mean_inhibitors,median_non_inhibitors,median_inhibitors,T-Statistic Mean,p-value Mean,T-Statistic Median,p-value Median,Significance Mean,p-value < 0.05 Count,Super_Significance Mean,p-value < 0.01 Count,Significance Median
SlogP_VSA3,7.8016899281839756,10.72377795652294,6.4208216229260096,9.589074368143644,-8.299287326185171,1.9030224487268095e-16,-8.299287326185171,1.9030224487268095e-16,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
SlogP_VSA4,4.400774858469524,7.832421311023868,0.0,5.917906046161393,-9.714764109597551,7.864285882091655e-22,-9.714764109597551,7.864285882091655e-22,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
SlogP_VSA5,14.628599578210254,28.34194401451,11.126902983393991,26.27942884323463,-18.64227309175119,1.2254733838004074e-71,-18.64227309175119,1.2254733838004074e-71,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
SlogP_VSA6,43.461509613083386,39.225483044903754,42.98647549183713,36.417508487514205,4.522054367169664,6.483260351181986e-06,4.522054367169664,6.483260351181986e-06,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
SlogP_VSA7,1.488330127050587,0.6368526022563251,0.0,0.0,6.433819627946474,1.553103924340387e-10,6.433819627946474,1.553103924340387e-10,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
SlogP_VSA8,7.270477667343869,3.9443103095672933,5.687386274683562,0.0,8.882612830621904,1.4222256868307418e-18,8.882612830621904,1.4222256868307418e-18,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
SlogP_VSA9,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
TPSA,61.43043571428565,76.36328333333321,58.300000000000004,75.27000000000001,-11.408729992621915,2.977672781872165e-29,-11.408729992621915,2.977672781872165e-29,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
EState_VSA1,4.595772003912057,8.65310999876852,0.0,5.969305287951849,-9.279871278225416,4.2709785472755484e-20,-9.279871278225416,4.2709785472755484e-20,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
EState_VSA10,6.227497352810395,11.85460291761106,4.794537184071822,13.212334168400758,-16.9469797600862,2.691745011141168e-60,-16.9469797600862,2.691745011141168e-60,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
EState_VSA11,0.0,0.0,0.0,0.0,,,,,"nope, deze niet",127,nope,127,"nope, deze niet"
EState_VSA2,8.539041239913505,15.962394380384522,5.907179729351506,12.934673416645474,-15.86965233993929,1.658311351609151e-53,-15.86965233993929,1.658311351609151e-53,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
EState_VSA3,13.750132139199875,18.206337466135448,11.715128420025835,16.690354475090988,-8.09243521791543,1.0047685482985815e-15,-8.09243521791543,1.0047685482985815e-15,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
EState_VSA4,16.43195649936088,20.063460260414466,15.242580612754605,17.53363462141788,-5.6541473627097245,1.7914690496161552e-08,-5.6541473627097245,1.7914690496161552e-08,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
EState_VSA5,11.058591881807516,14.08457298370355,7.109797541277533,11.823646930541102,-5.371218927800493,8.731932795107301e-08,-5.371218927800493,8.731932795107301e-08,"jaaaaaaaaaaaaa, goed verschilletje hiero",127,woooooooooooooooooooooooooooooooooooooooooooooooow,127,"jaaaaaaaaaaaaa, goed verschilletje hiero"
